UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
15	0
13	0
0	59
0	1
3	0
0	3
0	0
0	4
0	48
3	0
0	10
14	5
7	5
0	0
0	1
0	5
0	3
12	0
1	0
13	1
48	3
7	0
1	1
13	1
50	4
0	3
1	22
3	2
0	1
49	3
1	2
0	0
6	2
0	17
0	2
0	18
0	20
0	5
0	106
0	0
0	0
0	0
2	0
0	0
0	10
0	3
3	0
0	59
0	1
7	2
0	3
0	0
6	1
0	5
0	1
0	0
0	0
0	4
0	48
0	2
0	7
0	1
76	18
0	0
0	0
0	1
0	2
0	0
1	0
1	4
1	0
35	0
0	0
0	1
0	3
57	18
0	4
0	0
20	0
0	0
2	0
0	4
2	0
0	1
0	6
49	1
0	0
14	0
13	0
1	0
37	0
4	0
1	0
26	6
0	0
2	1
0	0
2	1
0	0
0	0
0	6
18	0
53	0
1	0
1	0
0	1
0	0
0	1
0	2
0	0
0	0
0	0
1	0
26	0
25	0
0	0
2	0
38	0
6	0
1	0
76	0
0	6
0	0
0	0
8	2
0	3
0	0
3	0
0	0
60	0
0	0
28	0
0	6
0	7
0	0
0	1
0	4
0	4
2	0
0	2
0	3
0	4
0	0
0	77
1	0
0	0
0	0
3	1
1	0
42	0
0	106
0	5
0	20
0	2
1	0
0	17
0	1
0	0
0	2
2	3
0	0
0	0
11	2
0	22
9	35
0	3
0	4
10	0
2	0
0	2
1	0
1	1
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
599	73
540	290
1160	281
361	10
182	3
615	200
550	9
318	0
163	0
1520	1
1027	0
41	0
829	0
0	78
0	73
1	0
0	4
0	3
56	43
0	12
2	44
0	1
0	1
0	0
0	31
0	11
0	31
8	0
4	0
0	0
0	0
0	1
3	11
0	0
0	1
0	1
0	0
0	0
0	17
0	1
